City,Date,AQI,AQI_Bucket
Talcher,2020-07-04,100,Satisfactory
Talcher,2020-07-05,96,Satisfactory
Talcher,2020-07-06,105,Moderate
Talcher,2020-07-07,104,Moderate
Talcher,2020-07-08,104,Moderate
Talcher,2020-07-09,103,Moderate
Talcher,2020-07-10,101,Moderate
Talcher,2020-07-11,95,Satisfactory
Talcher,2020-07-12,101,Moderate
Talcher,2020-07-13,110,Moderate
Talcher,2020-07-14,117,Moderate
Talcher,2020-07-15,118,Moderate
Kolkata,2020-07-02,51,Satisfactory
Kolkata,2020-07-03,53,Satisfactory
Kolkata,2020-07-04,51,Satisfactory
Kolkata,2020-07-05,55,Satisfactory
Kolkata,2020-07-06,56,Satisfactory
Kolkata,2020-07-07,57,Satisfactory
Kolkata,2020-07-08,58,Satisfactory
Kolkata,2020-07-09,61,Satisfactory
Kolkata,2020-07-10,64,Satisfactory
Kolkata,2020-07-11,68,Satisfactory
Kolkata,2020-07-12,65,Satisfactory
Kolkata,2020-07-13,68,Satisfactory
Kolkata,2020-07-14,73,Satisfactory
Kolkata,2020-07-15,75,Satisfactory
Guwahati,2020-07-02,38,Good
Guwahati,2020-07-03,48,Good
Guwahati,2020-07-04,48,Good
Guwahati,2020-07-05,50,Good
Guwahati,2020-07-06,51,Satisfactory
Guwahati,2020-07-07,49,Good
Guwahati,2020-07-08,53,Satisfactory
Guwahati,2020-07-09,53,Satisfactory
Guwahati,2020-07-10,54,Satisfactory
Guwahati,2020-07-11,51,Satisfactory
Guwahati,2020-07-12,50,Good
Guwahati,2020-07-13,54,Satisfactory
Guwahati,2020-07-14,51,Satisfactory
Guwahati,2020-07-15,57,Satisfactory
Coimbatore,2020-07-02,64,Satisfactory
Coimbatore,2020-07-03,65,Satisfactory
Coimbatore,2020-07-04,67,Satisfactory
Coimbatore,2020-07-05,64,Satisfactory
Coimbatore,2020-07-06,62,Satisfactory
Coimbatore,2020-07-07,64,Satisfactory
Coimbatore,2020-07-08,62,Satisfactory
Coimbatore,2020-07-09,63,Satisfactory
Coimbatore,2020-07-10,65,Satisfactory
Coimbatore,2020-07-11,66,Satisfactory
Coimbatore,2020-07-12,63,Satisfactory
Coimbatore,2020-07-13,60,Satisfactory
Coimbatore,2020-07-14,63,Satisfactory
Coimbatore,2020-07-15,63,Satisfactory
Shillong,2020-07-02,27,Good
Shillong,2020-07-03,32,Good
Shillong,2020-07-04,31,Good
Shillong,2020-07-05,34,Good
Shillong,2020-07-06,36,Good
Shillong,2020-07-07,38,Good
Shillong,2020-07-08,41,Good
Shillong,2020-07-09,42,Good
Shillong,2020-07-10,41,Good
Shillong,2020-07-11,40,Good
Shillong,2020-07-12,37,Good
Shillong,2020-07-13,37,Good
Shillong,2020-07-14,35,Good
Shillong,2020-07-15,34,Good
Chandigarh,2020-07-02,65,Satisfactory
Chandigarh,2020-07-03,65,Satisfactory
Chandigarh,2020-07-04,66,Satisfactory
Chandigarh,2020-07-05,67,Satisfactory
Chandigarh,2020-07-06,64,Satisfactory
Chandigarh,2020-07-07,63,Satisfactory
Chandigarh,2020-07-08,65,Satisfactory
Chandigarh,2020-07-09,69,Satisfactory
Chandigarh,2020-07-10,74,Satisfactory
Chandigarh,2020-07-11,77,Satisfactory
Chandigarh,2020-07-12,75,Satisfactory
Chandigarh,2020-07-13,74,Satisfactory
Chandigarh,2020-07-14,75,Satisfactory
Chandigarh,2020-07-15,74,Satisfactory
Bhopal,2020-07-02,66,Satisfactory
Bhopal,2020-07-03,67,Satisfactory
Bhopal,2020-07-04,65,Satisfactory
Bhopal,2020-07-05,66,Satisfactory
Bhopal,2020-07-06,68,Satisfactory
Bhopal,2020-07-07,66,Satisfactory
Bhopal,2020-07-08,67,Satisfactory
Bhopal,2020-07-09,66,Satisfactory
Bhopal,2020-07-10,68,Satisfactory
Bhopal,2020-07-11,68,Satisfactory
Bhopal,2020-07-12,69,Satisfactory
Bhopal,2020-07-13,72,Satisfactory
Bhopal,2020-07-14,73,Satisfactory
Bhopal,2020-07-15,74,Satisfactory
Ernakulam,2020-07-02,109,Moderate
Ernakulam,2020-07-03,108,Moderate
Ernakulam,2020-07-04,108,Moderate
Ernakulam,2020-07-05,106,Moderate
Ernakulam,2020-07-06,108,Moderate
Ernakulam,2020-07-07,109,Moderate
Ernakulam,2020-07-08,109,Moderate
Ernakulam,2020-07-09,108,Moderate
Ernakulam,2020-07-10,108,Moderate
Ernakulam,2020-07-11,108,Moderate
Ernakulam,2020-07-12,106,Moderate
Ernakulam,2020-07-13,107,Moderate
Ernakulam,2020-07-14,108,Moderate
Ernakulam,2020-07-15,109,Moderate
Kochi,2020-07-02,103,Moderate
Kochi,2020-07-03,105,Moderate
